FirstLevel;SecondLevel
United-States;NorthAmerica
Cambodia;Asia and other
England;Europe
Puerto-Rico;SouthAmerica
Canada;NorthAmerica
Germany;Europe
Outlying-US(Guam-USVI-etc);Asia and other
India;Asia and other
Japan;Asia and other
Greece;Europe
South;Other
China;Asia and other
Cuba;SouthAmerica
Iran;Asia and other
Honduras;SouthAmerica
Philippines;Asia and other
Italy;Europe
Poland;Europe
Jamaica;SouthAmerica
Vietnam;Asia and other
Mexico;SouthAmerica
Portugal;Europe
Ireland;Europe
France;Europe
Dominican-Republic;SouthAmerica
Laos;Asia and other
Ecuador;SouthAmerica
Taiwan;Asia and other
Haiti;SouthAmerica
Columbia;SouthAmerica
Hungary;Europe
Guatemala;SouthAmerica
Nicaragua;SouthAmerica
Scotland;Europe
Thailand;Asia and other
Yugoslavia;Europe
El-Salvador;SouthAmerica
Trinadad&Tobago;SouthAmerica
Peru;SouthAmerica
Hong;Asia and other
Holand-Netherlands;Europe
Unkown;Asia and other
